Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,AvgMonthlySpend,TotalServices,AvgRevenuePerMonth
0018-NYROU,Female,58.0,Yes,0.0,Antelope,95843,38.715498,-121.363411,0.0,5.0,Offer B,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0.0,93.25,444.75,Stayed,Competitor,Competitor had better devices,70.3,3,88.95
0019-EFAEP,Female,32.0,No,0.0,La Mesa,91942,32.782501,-117.01611,0.0,72.0,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0.0,162.0,7423.25,Stayed,Competitor,Competitor had better devices,100.85069444444444,8,103.10069444444444
0019-GFNTW,Female,39.0,No,0.0,Los Olivos,93441,34.70434,-120.02609,0.0,56.0,Offer B,No,25.420517214274486,No,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0.0,0.0,2560.1,Stayed,Competitor,Competitor had better devices,45.716071428571425,6,45.716071428571425
0020-INWCK,Female,58.0,Yes,0.0,Woodlake,93286,36.464635,-119.094348,7.5,71.0,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0.0,1935.46,8784.86,Stayed,Competitor,Competitor had better devices,96.47042253521126,8,123.73042253521128
0020-JDNXP,Female,52.0,Yes,0.0,Point Reyes Station,94956,38.060264,-122.830646,0.0,34.0,Offer B,No,25.420517214274486,No,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0.0,0.0,1993.2,Stayed,Competitor,Competitor had better devices,58.62352941176471,8,58.62352941176471
0021-IKXGC,Female,72.0,No,0.0,San Marcos,92078,33.119028,-117.166036,0.0,1.0,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0.0,7.77,79.87,Joined,Competitor,Competitor had better devices,72.1,4,79.87
0022-TCJCI,Male,79.0,No,0.0,Daly City,94015,37.680844,-122.48131,0.0,45.0,Offer B,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0.0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,62.03333333333333,6,72.70333333333333
0023-HGHWL,Male,67.0,No,0.0,Morgan Hill,95037,37.161544,-121.649371,0.0,1.0,Offer B,No,25.420517214274486,No,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0.0,0.0,25.1,Churned,Competitor,Competitor made better offer,25.1,2,25.1
0023-UYUPN,Female,79.0,Yes,0.0,Ahwahnee,93601,37.375816,-119.739935,0.0,50.0,Offer B,Yes,31.43,Yes,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0.0,1571.5,2877.8,Stayed,Competitor,Competitor had better devices,26.125999999999998,3,57.556000000000004
0023-XUOPT,Female,26.0,Yes,0.0,Carnelian Bay,96140,39.227434,-120.091806,1.0,13.0,Offer B,Yes,43.56,Yes,Yes,Fiber Optic,45.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0.0,566.28,1781.88,Churned,Other,Don't know,93.5076923076923,7,137.0676923076923
0027-KWYKW,Female,30.0,Yes,0.0,Alpaugh,93201,35.869626,-119.498771,1.0,23.0,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0.0,802.93,2652.88,Stayed,Competitor,Competitor had better devices,80.43260869565218,5,115.34260869565217
0030-FNXPP,Female,22.0,No,0.0,Keeler,93530,36.560498,-117.962461,0.0,3.0,Offer B,Yes,3.12,No,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0.0,9.36,66.56,Joined,Competitor,Competitor had better devices,19.066666666666666,2,22.186666666666667
0031-PVLZI,Female,34.0,Yes,0.0,Korbel,95550,40.7666,-123.80458,0.0,4.0,Offer E,Yes,12.43,No,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0.0,49.72,126.07,Churned,Price,Long distance charges,19.0875,2,31.5175
0032-PGELS,Female,37.0,Yes,0.0,Palomar Mountain,92060,33.309852,-116.823091,1.0,1.0,Offer B,No,25.420517214274486,No,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0.0,0.0,30.5,Churned,Attitude,Attitude of service provider,30.5,3,30.5
0036-IHMOT,Female,37.0,Yes,0.0,Parlier,93648,36.622237,-119.521126,7.5,55.0,Offer B,Yes,35.04,No,Yes,Fiber Optic,45.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,0.0,1927.2,7603.95,Stayed,Competitor,Competitor had better devices,102.85,8,138.25363636363636
0040-HALCW,Male,42.0,Yes,0.0,Modesto,95358,37.612612,-121.108568,3.0,54.0,Offer B,Yes,19.7,No,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,Two Year,No,Credit Card,20.4,1090.6,0.0,0.0,1063.8,2154.4,Stayed,Competitor,Competitor had better devices,20.196296296296296,2,39.8962962962963
0042-JVWOJ,Male,64.0,No,0.0,Glen Ellen,95442,38.368744,-122.522642,0.0,26.0,Offer C,Yes,37.7,No,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,19.6,471.85,0.0,0.0,980.2,1430.8,Stayed,Competitor,Competitor had better devices,18.148076923076925,2,55.03076923076923
0042-RLHYP,Female,47.0,Yes,0.0,Eureka,95503,40.737431,-124.108897,5.0,69.0,Offer B,Yes,38.39,No,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0.0,2648.91,4045.81,Stayed,Competitor,Competitor had better devices,20.244927536231884,2,58.634927536231885
0048-LUMLS,Male,23.0,Yes,0.0,Moss Beach,94038,37.515556,-122.502311,1.0,37.0,Offer C,Yes,43.01,No,Yes,Fiber Optic,45.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0.0,1591.37,4838.92,Stayed,Competitor,Competitor had better devices,87.77162162162162,6,130.7816216216216
0048-PIHNL,Female,48.0,Yes,0.0,Los Angeles,90058,34.001617,-118.222274,5.0,49.0,Offer B,Yes,49.58,No,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0.0,2429.42,3330.32,Stayed,Competitor,Competitor had better devices,18.385714285714286,2,67.96571428571428
0052-DCKON,Male,28.0,Yes,0.0,Los Angeles,90063,34.044271,-118.185237,7.5,66.0,Offer B,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,7942.15,0.0,0.0,2871.9325,10830.97,Stayed,Competitor,Competitor had better devices,120.33560606060605,11,164.10560606060605
0052-YNYOT,Female,28.0,No,0.0,Calexico,92231,32.690654,-115.431225,0.0,67.0,Offer B,Yes,23.12,No,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,20.55,1343.4,0.0,0.0,1549.04,2861.91,Stayed,Competitor,Competitor had better devices,20.050746268656717,2,42.71507462686567
0056-EPFBG,Male,33.0,Yes,0.0,Redding,96003,40.677649,-122.29467,4.0,20.0,Offer B,No,25.420517214274486,No,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0.0,0.0,825.4,Stayed,Competitor,Competitor had better devices,41.269999999999996,5,41.269999999999996
0057-QBUQH,Female,31.0,No,0.0,San Martin,95046,37.084697,-121.606417,0.0,43.0,Offer B,Yes,30.64,Yes,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0.0,1317.52,2387.67,Stayed,Competitor,Competitor had better devices,24.887209302325584,3,55.52720930232558
0058-EVZWM,Female,37.0,Yes,0.0,Stockton,95209,38.044523,-121.348048,2.0,55.0,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0.0,279.4,5239.0,Stayed,Competitor,Competitor had better devices,90.17454545454547,6,95.25454545454545
0060-FUALY,Female,60.0,Yes,0.0,Los Angeles,90003,33.964131,-118.272783,4.0,59.0,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0.0,967.01,6564.66,Stayed,Competitor,Competitor had better devices,94.87542372881356,7,111.26542372881356
0064-SUDOG,Female,48.0,Yes,0.0,Huntington Park,90255,33.97803,-118.217141,3.0,12.0,Offer B,Yes,19.28,No,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0.0,231.36,455.86,Stayed,Competitor,Competitor had better devices,18.708333333333332,2,37.98833333333334
0064-YIJGF,Male,60.0,Yes,0.0,Yermo,92398,35.013299,-116.834092,7.0,27.0,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0.0,682.02,2611.02,Stayed,Competitor,Competitor had better devices,71.44444444444444,4,96.70444444444445
0067-DKWBL,Male,69.0,No,0.0,San Diego,92129,32.961064,-117.134917,0.0,2.0,Offer B,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0.0,87.98,179.08,Churned,Competitor,Competitor made better offer,45.55,4,89.54
0068-FIGTF,Female,20.0,No,0.0,Fremont,94539,37.516791,-121.899117,0.0,27.0,Offer C,Yes,48.91,No,Yes,DSL,45.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0.0,1320.57,3399.52,Stayed,Competitor,Competitor had better devices,76.99814814814815,9,125.90814814814814
0071-NDAFP,Male,31.0,Yes,0.0,Santa Rosa,95405,38.439696,-122.668817,1.0,25.0,Offer B,Yes,23.69,Yes,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,Two Year,No,Credit Card,25.5,630.6,0.0,0.0,592.25,1178.43,Stayed,Competitor,Competitor had better devices,25.224,3,47.1372
0074-HDKDG,Male,46.0,Yes,0.0,San Jose,95126,37.327069,-121.916819,5.0,25.0,Offer B,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,0.0,0.0,161.25,1727.35,Stayed,Competitor,Competitor had better devices,64.44,6,69.094
0076-LVEPS,Male,57.0,No,0.0,Tujunga,91042,34.296574,-118.244839,0.0,29.0,Offer B,No,25.420517214274486,No,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,0.0,0.0,0.0,1230.19,Stayed,Competitor,Competitor had better devices,42.84310344827586,6,42.420344827586206
0078-XZMHT,Male,19.0,Yes,0.0,Visalia,93291,36.391777,-119.372842,5.0,72.0,Offer B,Yes,32.36,Yes,Yes,DSL,45.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0.0,2329.92,8646.12,Stayed,Competitor,Competitor had better devices,87.725,10,120.08500000000001
0080-EMYVY,Female,64.0,No,0.0,Lodi,95240,38.123544,-121.159078,0.0,14.0,Offer B,Yes,24.04,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0.0,0.0,336.56,1064.41,Stayed,Competitor,Competitor had better devices,51.989285714285714,4,76.02928571428572
0080-OROZO,Female,38.0,No,0.0,El Portal,95318,37.654551,-119.822984,0.0,35.0,Offer C,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,0.0,0.0,1274.7,4806.7,Stayed,Competitor,Competitor had better devices,100.91428571428571,8,137.3342857142857
0082-LDZUE,Male,54.0,No,0.0,Calistoga,94515,38.629618,-122.593216,0.0,1.0,Offer E,Yes,42.95,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0.0,42.95,87.25,Joined,Competitor,Competitor had better devices,44.3,3,87.25
0082-OQIQY,Male,50.0,No,0.0,Farmington,95230,37.956963,-120.863055,0.0,29.0,Offer B,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0.0,0.0,59.45,2687.05,Stayed,Competitor,Competitor had better devices,89.91724137931034,6,92.65689655172415
0083-PIVIK,Male,25.0,No,0.0,Tulelake,96134,41.813521,-121.492666,0.0,64.0,Offer B,Yes,5.49,Yes,Yes,DSL,45.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0.0,0.0,351.36,5958.91,Stayed,Competitor,Competitor had better devices,86.99296875,8,93.10796875
0089-IIQKO,Female,35.0,Yes,0.0,Coleville,96107,38.42528,-119.475741,1.0,39.0,Offer B,Yes,24.38,Yes,Yes,Fiber Optic,45.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0.0,0.0,950.82,4718.22,Stayed,Competitor,Competitor had better devices,96.60000000000001,8,120.98
0093-EXYQL,Female,72.0,No,0.0,Ojai,93023,34.581308,-118.931948,0.0,40.0,Offer B,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0.0,0.0,1765.6,5439.2,Stayed,Competitor,Competitor had better devices,91.84,5,135.98
0093-XWZFY,Male,51.0,No,0.0,Desert Hot Springs,92241,33.832799,-116.250973,0.0,40.0,Offer B,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0.0,1507.6,5544.45,Churned,Competitor,Competitor had better devices,100.92125,9,138.61124999999998
0094-OIFMO,Female,78.0,No,0.0,North Hollywood,91605,34.207295,-118.400022,0.0,11.0,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,0.0,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction,101.84545454545454,5,124.34454545454545
0096-BXERS,Female,30.0,Yes,0.0,Inverness,94937,38.099323,-122.945723,7.5,6.0,Offer E,Yes,42.66,Yes,Yes,Cable,45.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0.0,0.0,255.96,570.51,Stayed,Competitor,Competitor had better devices,52.425000000000004,4,95.085
0096-FCPUF,Male,58.0,No,0.0,Santa Rosa,95404,38.526941,-122.709096,0.0,30.0,Offer B,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0.0,0.0,79.2,1967.65,Stayed,Competitor,Competitor had better devices,62.94833333333334,7,65.58833333333334
0098-BOWSO,Male,26.0,No,0.0,San Jose,95131,37.387027,-121.897775,0.0,27.0,Offer B,Yes,20.66,No,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0.0,0.0,557.82,1087.62,Stayed,Competitor,Competitor had better devices,19.62222222222222,2,40.28222222222222
0100-DUVFC,Male,66.0,Yes,0.0,Wilmington,90744,33.782068,-118.262263,3.0,70.0,Offer B,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,0.0,0.0,2764.3,10067.14,Stayed,Competitor,Competitor had better devices,104.41357142857143,8,143.8162857142857
0103-CSITQ,Female,20.0,Yes,0.0,Modesto,95357,37.670526,-120.877572,7.5,57.0,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,45.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0.0,0.0,456.57,6709.27,Stayed,Competitor,Competitor had better devices,109.69649122807017,10,117.70649122807018
0104-PPXDV,Male,61.0,Yes,0.0,San Diego,92113,32.697098,-117.116587,7.5,58.0,Offer B,Yes,18.37,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,0.0,0.0,1065.46,3933.78,Stayed,Competitor,Competitor had better devices,49.630172413793105,4,67.82379310344828
0106-GHRQR,Male,24.0,No,0.0,Rancho Palos Verdes,90275,33.753146,-118.367459,0.0,16.0,Offer B,Yes,25.71,Yes,Yes,DSL,45.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0.0,0.0,411.36,1623.46,Stayed,Competitor,Competitor had better devices,75.75625,8,101.46625
0106-UGRDO,Female,55.0,Yes,0.0,Kenwood,95452,38.419525,-122.521585,3.0,69.0,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,8182.85,0.0,0.0,2657.88,10840.73,Stayed,Competitor,Competitor had better devices,118.59202898550726,11,157.11202898550724
0107-WESLM,Male,32.0,No,0.0,West Point,95255,38.41935,-120.469545,0.0,1.0,Offer E,Yes,31.77,No,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0.0,31.77,51.62,Churned,Attitude,Attitude of support person,19.85,2,51.62
0107-YHINA,Male,59.0,No,0.0,Los Angeles,90062,34.003553,-118.308933,0.0,1.0,Offer B,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0.0,40.71,140.46,Churned,Competitor,Competitor had better devices,99.75,8,140.46
0111-KLBQG,Male,71.0,Yes,0.0,Morongo Valley,92256,34.097863,-116.594561,7.5,32.0,Offer C,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0.0,0.0,1019.52,3880.97,Stayed,Competitor,Competitor had better devices,89.4203125,7,121.2803125
0112-QAWRZ,Male,49.0,Yes,0.0,Palo Verde,92266,33.3249,-114.758334,7.5,16.0,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0.0,0.0,779.36,2221.56,Stayed,Competitor,Competitor had better devices,90.1375,6,138.8475
0112-QWPNC,Male,61.0,Yes,0.0,Valyermo,93563,34.39583,-117.734568,1.0,49.0,Offer B,Yes,39.55,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0.0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds,82.84387755102041,10,122.39387755102041
0114-IGABW,Female,40.0,Yes,0.0,Cambria,93428,35.591387,-121.032256,2.0,71.0,Offer A,No,25.420517214274486,No,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0.0,0.0,0.0,4145.9,Stayed,Competitor,Competitor had better devices,58.39295774647887,8,58.39295774647887
0114-PEGZZ,Female,39.0,No,0.0,Round Mountain,96084,40.923558,-122.059933,0.0,33.0,Offer B,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0.0,0.0,1639.77,5285.27,Stayed,Competitor,Competitor had better devices,110.46969696969697,9,160.159696969697
0114-RSRRW,Female,21.0,Yes,0.0,Klamath,95548,41.572813,-124.035011,7.5,10.0,Offer D,Yes,49.6,No,No,Fiber Optic,26.189958310676094,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0.0,0.0,496.0,683.75,Stayed,Competitor,Competitor had better devices,18.775,2,68.375
0115-TFERT,Male,24.0,Yes,0.0,Fresno,93650,36.841655,-119.797113,1.0,21.0,Offer B,Yes,36.26,Yes,Yes,Fiber Optic,45.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0.0,0.0,761.46,3198.56,Churned,Attitude,Attitude of service provider,110.33809523809524,9,152.31238095238095
